PANGAEA ID,PANGAEA Name,PANGAEA Unit,SDN Unit URN,SDN Unit Name,SDN P01 ID,SDN P01 Name,SDN P01 URI,CF standard name,CF unit,EMODNET,EMODNET long name
1883,Oxygen saturation,%,SDN:P06::UPCT,Percent,SDN:P01::OXYSZZ01,"Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus 
reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/OXYSZZ01,fractional_saturation_of_oxygen_in_sea_water,%,OSAT,Oxygen saturation
763,"Carbon dioxide, partial pressure",µatm,SDN:P06::UATM,Microatmospheres,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,uatm,PCO2,CO2 partial pressure
96297,"Carbon dioxide, partial pressure",Pa,SDN:P06::PASX,Pascals,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa,PCO2,CO2 partial pressure
87106,"Carbon dioxide, partial pressure",ppmv,SDN:P06::UMLV,Parts per million by volume,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,1.00E-06,PCO2,CO2 partial pressure
120845,Carbon dioxide (water) partial pressure,µatm,SDN:P06::UATM,Microatmospheres,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,uatm,PCO2,CO2 partial pressure
49317,partial pressure of carbon dioxide,uatm,SDN:P06::UATM,Microatmospheres,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,uatm,PCO2,CO2 partial pressure
131394,"carbon dioxide, partial pressure",ppmv,SDN:P06::UMLV,Parts per million by volume,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,1.00E-06,PCO2,CO2 partial pressure
49316,Partial pressure of carbon dioxide (ambient atmosphere),Torr,,,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,torr,PCO2,CO2 partial pressure
143321,Partial pressure of carbon dioxide (water) at sea surface temperature (wet air),ppmv,SDN:P06::UMLV,Parts per million by volume,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,1.00E-06,PCO2,CO2 partial pressure
132112,Partial pressure of carbon dioxide (water) at sea surface temperature (wet air),Pa,SDN:P06::PASX,Pascals,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa,PCO2,CO2 partial pressure
131754,Partial pressure of carbon dioxide (water) at sea surface temperature (wet air),µatm,SDN:P06::UATM,Microatmospheres,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,uatm,PCO2,CO2 partial pressure
49313,Partial pressure of carbon dioxide (water) at sea surface temperature (wet air),µatm,SDN:P06::UATM,Microatmospheres,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,uatm,PCO2,CO2 partial pressure
